gene ID,log2FC,p-value
CGI_10004252,1.237171392,3.43487E-15
CGI_10024294,1.110677719,3.47887E-15
CGI_10022721,-1.694609772,3.71705E-15
CGI_10009626,1.291730281,3.74227E-15
CGI_10023375,0.902190274,4.02864E-15
CGI_10017851,2.679763807,4.20464E-15
CGI_10016395,1.060575604,4.77923E-15
CGI_10011338,0.813639643,6.0896E-15
CGI_10016514,1.397420727,8.29513E-15
CGI_10028445,-1.222181553,9.15067E-15
CGI_10018566,1.112823943,9.89714E-15
CGI_10019170,0.936259734,1.02888E-14
CGI_10023477,1.380734283,1.08469E-14
CGI_10010189,0.736133558,1.37528E-14
CGI_10023972,1.364182992,1.45673E-14
CGI_10021357,1.288603248,1.60902E-14
CGI_10022323,-1.032979709,1.60902E-14
CGI_10026852,0.842746874,1.7044E-14
CGI_10023836,-1.188778091,2.11118E-14
CGI_10024758,1.433569502,2.11118E-14
CGI_10026216,1.570130984,2.28668E-14
CGI_10006203,1.239261792,2.55656E-14
CGI_10000852,0.747914561,2.8318E-14
CGI_10026052,0.837732609,3.50643E-14
CGI_10018746,1.165037684,3.75879E-14
CGI_10020230,0.713702791,5.02211E-14
CGI_10007386,1.718801501,5.30888E-14
CGI_10019930,1.208350957,5.44629E-14
CGI_10018463,1.196337207,5.49725E-14
CGI_10014162,1.030275731,6.6296E-14
CGI_10009266,2.508364961,7.2672E-14
CGI_10016546,2.038590198,9.53089E-14
CGI_10020341,0.866335255,1.1706E-13
CGI_10027276,0.814093509,1.36392E-13
CGI_10028128,-0.813389978,1.43591E-13
CGI_10018833,-1.001320171,1.53738E-13
CGI_10022328,1.665994544,1.8876E-13
CGI_10001863,1.148765491,2.43358E-13
CGI_10011514,0.864078389,2.49854E-13
CGI_10022324,-1.010921332,2.64458E-13
CGI_10006145,2.267450627,2.69724E-13
CGI_10006083,2.443068656,2.85701E-13
CGI_10006234,2.334622772,2.96424E-13
CGI_10015085,1.036996224,3.08155E-13
CGI_10007887,-1.17559627,3.41827E-13
CGI_10002102,1.166743457,3.71602E-13
CGI_10016513,1.09110965,3.79446E-13
CGI_10022908,1.220905641,4.03324E-13
CGI_10009890,2.111737331,4.06704E-13
CGI_10011852,1.371016814,4.14048E-13
CGI_10001187,1.040702606,4.55088E-13
CGI_10022450,0.741276743,4.59226E-13
CGI_10019139,2.460035258,5.39637E-13
CGI_10015198,0.917808298,7.90086E-13
CGI_10023032,1.79608808,8.49963E-13
CGI_10008215,1.925110403,1.00199E-12
CGI_10028411,-0.838185777,1.12622E-12
CGI_10024516,0.789193239,1.27497E-12
CGI_10002589,1.204324652,1.40991E-12
CGI_10015152,0.676601768,1.45064E-12
CGI_10020281,1.695620005,1.45102E-12
CGI_10022124,0.804352999,1.57552E-12
CGI_10008570,0.731671907,1.61763E-12
CGI_10002792,2.09985915,2.03697E-12
CGI_10015364,1.415863861,2.05093E-12
CGI_10003079,0.740214831,2.34838E-12
CGI_10011554,1.003334936,2.53404E-12
CGI_10010445,0.975564183,2.67557E-12
CGI_10010586,-0.794630364,2.71718E-12
CGI_10006233,2.418091952,2.93517E-12
CGI_10024989,0.589903096,3.10919E-12
CGI_10004645,1.26758786,3.13382E-12
CGI_10016364,1.077678886,3.19448E-12
CGI_10012008,-0.797271341,3.39872E-12
CGI_10016884,-0.862383627,3.67227E-12
CGI_10005870,1.030697854,3.79666E-12
CGI_10011647,-1.255963697,3.88096E-12
CGI_10016023,1.513137959,4.08344E-12
CGI_10018420,0.925566812,4.81257E-12
CGI_10013980,1.330689951,5.21037E-12
CGI_10018276,1.442299127,5.29363E-12
CGI_10006110,2.048226152,5.65713E-12
CGI_10027458,-0.709731448,5.92617E-12
CGI_10012038,-0.712435679,6.03866E-12
CGI_10010969,1.010317715,6.60047E-12
CGI_10012437,0.844138781,7.19045E-12
CGI_10017528,0.688899798,8.99723E-12
CGI_10013604,0.720055278,9.17494E-12
CGI_10012683,1.984847073,1.00432E-11
CGI_10011837,1.310929612,1.07698E-11
CGI_10023081,-0.959087283,1.07769E-11
CGI_10004054,0.71598127,1.19492E-11
CGI_10021628,1.222480233,1.21876E-11
CGI_10024628,1.010562997,1.31861E-11
CGI_10010551,0.719872871,1.52519E-11
CGI_10018739,-0.743162375,1.56051E-11
CGI_10019870,1.927386856,1.81483E-11
CGI_10002646,1.24898657,2.13469E-11
CGI_10003697,0.710142467,2.52007E-11
CGI_10026748,-0.863809475,2.55914E-11
